Anleihe	Sg	Fem	Nom.Akk	Anleihe	4	3/10/2005 12:4:21	3/10/2005 12:4:39		66
Anmeldeformular	Sg	Masc.Neut	Dat	Anmeldeformular	2	3/10/2005 11:45:5	3/10/2005 11:45:7		67
Anmeldung	Sg	Fem	Dat	Anmeldung	237	3/10/2005 11:44:23	3/10/2005 13:43:27		68
Annahme	Sg	Fem	Dat	Annahme	2	3/10/2005 12:43:7	3/10/2005 12:43:12		69
Anpassungsschritt	Sg	Masc	Akk	Anpassungsschritt	2	3/10/2005 13:12:45	3/10/2005 13:12:48		70
Ansage	Sg	Fem	Nom	Ansage	2	3/10/2005 11:55:16	3/10/2005 11:55:29		71
Anschluss	Sg	Masc	Akk	Anschluss.Anschlus	2	3/10/2005 12:2:2	3/10/2005 12:2:22		72
Anschlägen	Pl	Masc.Fem.Neut	Dat	Anschläge.Anschlage.Anschläg.Anschlag	1	3/10/2005 11:48:6	3/10/2005 11:48:6		73
Anstieg	Sg	Masc.Neut	Akk	Anstieg	3	3/10/2005 13:27:50	3/10/2005 13:38:8		74
Anteil	Sg	Masc.Fem	Nom	Anteil	2	3/10/2005 13:41:55	3/10/2005 13:42:11		75
Anton	Sg	Masc.Neut	Akk	Anton	2	3/10/2005 12:7:55	3/10/2005 12:8:8		76
Antrag	Sg	Masc.Fem	Nom	Antrag	4	3/10/2005 13:41:55	3/10/2005 13:42:11		77
Antrieb	Sg	Masc.Neut	Dat	Antrieb	1	3/10/2005 12:36:45	3/10/2005 12:36:45		78
Antwort	Sg.Pl	Fem	Nom.Akk	Antwort	12	3/10/2005 12:5:46	3/10/2005 12:37:35		79
Anwalts	Sg	Masc.Neut	Gen	Anwalt	2	3/10/2005 11:51:8	3/10/2005 11:51:15		80
Anzeichen	Sg	Masc.Neut	Dat	Anzeichen.Anzeiche.Anzeich	1	3/10/2005 12:52:31	3/10/2005 12:52:31		81
Anzeigenblatt	Sg	Masc.Neut	Dat	Anzeigenblatt	2	3/10/2005 11:58:59	3/10/2005 11:59:16		82
Apostroph	Sg	Masc	Nom.Akk	Apostroph	26	3/10/2005 12:19:30	3/10/2005 13:15:5		83
Apostrophs	Sg	Masc.Neut	Gen	Apostroph	4	3/10/2005 12:19:30	3/10/2005 12:19:45		84
Apparat	Pl	Masc.Fem.Neut	Dat	Apparat	2	3/10/2005 12:6:55	3/10/2005 12:7:9		85
Appetit	Sg	Masc.Fem.Neut	Akk	Appetit	2	3/10/2005 11:45:5	3/10/2005 11:45:8		86
Applaus	Sg	Masc.Fem.Neut	Nom	Applaus.Applau	2	3/10/2005 13:24:44	3/10/2005 13:24:45		87
Araber	Pl	Masc.Fem.Neut	Nom	Araber.Arabe.Arab	1	3/10/2005 12:58:10	3/10/2005 12:58:10		88
Arabischen	Sg	Masc.Neut	Gen	Arabischen.Arabisch	1	3/10/2005 12:58:10	3/10/2005 12:58:10		89
Arbeit	Sg	Fem	Dat	Arbeit	17	3/10/2005 12:5:45	3/10/2005 13:23:4		90
Arbeiten	Sg	Masc.Neut	Dat	Arbeit	4	3/10/2005 12:3:9	3/10/2005 12:20:29		91
Arbeiter	Sg	Masc.Neut	Nom	Arbeit	2	3/10/2005 12:2:3	3/10/2005 12:2:23		92
Arbeitsmarkt	Sg	Masc.Neut	Dat	Arbeitsmarkt	2	3/10/2005 13:37:50	3/10/2005 13:38:8		93
Arbeitsplatz	Sg	Masc.Fem.Neut	Akk	Arbeitsplatz	2	3/10/2005 12:20:14	3/10/2005 12:20:29		94
Arbeitsstelle	Sg	Fem	Dat	Arbeitsstelle	2	3/10/2005 12:20:14	3/10/2005 12:20:29		95
Argument	Sg	Neut	Akk	Argument	4	3/10/2005 12:4:23	3/10/2005 12:8:8		96
Argumentation	Sg	Masc.Fem	Nom	Argumentation	1	3/10/2005 12:49:22	3/10/2005 12:49:22		97
Argumente	Pl	Masc.Fem.Neut	Akk	Argument	1	3/10/2005 13:16:46	3/10/2005 13:16:46		98
Art	Sg	Fem	Akk.Dat	Art	7	3/10/2005 11:44:22	3/10/2005 13:31:11		99
